country,total_kton_CO2,per_capita_CO2,country_budget_mton_CO2,budget_reach_years_from_2016,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,capita_1990,capita_1991,capita_1992,capita_1993,capita_1994,capita_1995,capita_1996,capita_1997,capita_1998,capita_1999,capita_2000,capita_2001,capita_2002,capita_2003,capita_2004,capita_2005,capita_2006,capita_2007,capita_2008,capita_2009,capita_2010,capita_2011,capita_2012,capita_2013,capita_2014,capita_2015,capita_2016,capita_2017,population,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150,2151,2152,2153,2154,2155,2156,2157,2158,2159,2160,2161,2162,2163,2164,2165,2166,2167,2168,2169,2170,2171,2172,2173,2174,2175,2176,2177,2178,2179,2180,2181,2182,2183,2184,2185,2186,2187,2188,2189,2190,2191,2192,2193,2194,2195,2196,2197,2198,2199,2200
Afghanistan,9900,0.29,3041.7,307.2,1.47,1.47,1.51,1.47,1.9,1.69,1.61,1.87,1.61,1.74,1.72,2.03,1.96,2.64,2.65,3.35,3.13,2.77,2.66,2.53,2.55,2.46,1.69,1.54,1.28,1.14,1.16,1.15,1.16,1.11,1.09,0.97,0.84,0.66,0.76,1.06,1.16,1.2,2.71,4.25,5.64,6.92,9.66,16.3,10.32,9.79,10.75,11.42,0.21,0.19,0.12,0.1,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.04,0.04,0.05,0.1,0.15,0.2,0.23,0.31,0.51,0.32,0.29,0.31,0.32,35383128,11.42,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,5208.32,1.78,260.7,50.1,4.38,4.37,4.95,4.54,4.74,4.89,5.26,5.54,6.47,7.59,7.69,6.7,6.92,7.42,8.03,7.66,7.74,8.01,7.95,7.82,6.58,4.39,2.38,2.24,2.38,2.11,2.1,1.63,1.95,3.12,3.26,3.47,4.02,4.23,4.42,4.2,4.15,4.26,4.22,4.31,4.59,4.99,4.54,4.55,4.93,4.69,4.94,5.03,2.01,1.34,0.74,0.7,0.76,0.68,0.68,0.53,0.63,1,1.05,1.11,1.29,1.36,1.43,1.36,1.36,1.41,1.41,1.45,1.56,1.7,1.56,1.56,1.69,1.6,1.69,1.72,2876101,5.03,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,156220.56,3.85,3615.4,23.1,17.17,19.94,29.94,40.03,34.38,31.75,40.85,45.25,50.35,51.44,51.67,49.83,52.45,55.24,57.6,65.47,68.84,66.61,67.63,67.9,65.68,69.81,76.34,76.84,77.71,80.3,79.19,77.63,77.77,81,83.69,82.1,86.57,93,92.66,98.2,103.35,105.98,110.82,114.19,116.41,122.78,137.14,140.79,151.33,160.37,159.92,159.93,2.53,2.63,2.81,2.77,2.74,2.78,2.69,2.6,2.56,2.63,2.68,2.6,2.71,2.87,2.82,2.95,3.06,3.09,3.18,3.22,3.22,3.33,3.65,3.67,3.87,4.02,3.94,3.87,40551404,159.93,159.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,30566.93,1.06,2569.4,84.1,3.56,3.49,4.57,4.7,4.88,4.46,3.36,4.16,5.53,5.5,5.57,5.2,4.82,5.01,4.97,5.63,5.69,5.78,6.2,6.3,5.85,6.06,6.07,6.29,11.57,13.04,15.77,16.5,17.14,18.13,16.61,16.29,16.03,17.45,17.5,15.98,16.73,17.24,19.49,21.32,23.81,24.77,23.72,25.97,28.16,30.82,32.11,30.88,0.48,0.48,0.47,0.47,0.84,0.91,1.07,1.09,1.11,1.14,1.01,0.96,0.91,0.96,0.93,0.82,0.83,0.82,0.9,0.95,1.02,1.02,0.95,1,1.05,1.11,1.11,1.04,28842484,30.88,30.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,30.26,2.04,1.3,43.7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.73,0.87,0.88,1.07,1.38,1.67,1.61,1.32,1.18,1.09,1.4,1.4,0.93,1.17,1.09,1.08,0.99,0.94,1.14,1.49,1.74,1.86,1.84,1.95,1.93,1.92,1.87,1.85,1,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,438.76,4.34,9.0,20.5,0.12,0.12,0.14,0.15,0.13,0.16,0.14,0.16,0.16,0.15,0.15,0.13,0.18,0.1,0.14,0.16,0.17,0.22,0.23,0.22,0.22,0.24,0.24,0.23,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.24,0.24,0.27,0.28,0.28,0.27,0.28,0.29,0.34,0.36,0.35,0.62,0.64,0.57,0.62,0.62,0.62,3.35,3.54,3.5,3.26,3.66,3.53,3.47,3.21,3.08,3.14,2.92,2.85,2.8,3.15,3.21,3.17,3.03,3.1,3.12,3.59,3.77,3.69,6.36,6.5,5.75,6.25,6.18,6.12,94527,0.62,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,200708.27,4.58,3904.6,19.5,91.08,91.56,92.63,97.08,96.87,95.5,101.54,105.1,107.05,112.65,109.81,106.62,105.15,106.85,106.56,100.19,110.36,115.14,121.36,119.31,112.43,115.75,119.33,119.73,124,127.94,135.63,143.15,147.23,152.26,150.59,140.96,133.1,145.95,162.28,165.43,176.2,183.94,196.01,185.98,191.34,199.44,205.4,201.9,209.98,212.41,212.29,209.97,3.44,3.49,3.55,3.51,3.59,3.66,3.83,3.99,4.06,4.15,4.06,3.76,3.51,3.81,4.19,4.23,4.45,4.6,4.85,4.56,4.64,4.79,4.88,4.75,4.89,4.89,4.84,4.74,43590368,209.97,209.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,4597.85,1.57,260.9,56.8,10.92,10.94,11.75,12.81,13.86,15.24,15.75,16.34,16.95,17.61,18.72,19.12,19.64,19.73,19.82,20.06,20.2,20.45,20.46,20.1,20.7,21.56,11,5.18,2.88,3.62,2.68,3.43,3.56,3.2,3.66,3.73,3.2,3.57,3.83,4.54,4.58,5.28,5.79,4.65,4.46,5.08,5.87,5.55,5.53,5.01,5.08,4.83,5.85,6.15,3.2,1.54,0.88,1.12,0.84,1.1,1.15,1.04,1.19,1.22,1.05,1.18,1.28,1.52,1.55,1.8,1.99,1.61,1.55,1.77,2.04,1.92,1.9,1.72,1.74,1.65,2936146,4.83,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,286.87,1.7,15.0,52.4,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.23,0.26,0.3,0.36,0.36,0.38,0.37,0.44,0.3,0.46,0.45,0.48,0.45,0.48,0.48,0.48,0.53,0.47,0.49,0.44,0.45,0.47,0.5,0.46,0.8,1.02,0.96,0.96,0.96,0.96,4.78,5.51,5.25,5.23,4.89,5.54,3.61,5.41,5.21,5.34,4.97,5.21,5.06,4.94,5.37,4.7,4.81,4.34,4.41,4.63,4.9,4.49,7.8,9.85,9.23,9.2,9.15,9.11,104872,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,414988.7,17.22,2147.2,5.2,160.96,162.27,168.16,177.81,187.02,193.87,196.67,209.9,206.4,212.17,222.38,223.3,229.6,216.12,222.53,236.7,237.28,248.58,257.1,271.96,275.41,277.12,280.9,285.07,292.46,302.51,313.12,322.05,342.84,347.95,353.81,360.37,368.44,372.48,386.6,391.59,397.99,408.47,411.63,417.08,412.84,410.4,409.89,405.45,396.19,403.26,402.47,402.25,16.16,16.04,16.06,16.12,16.35,16.73,17.14,17.44,18.37,18.44,18.56,18.7,18.92,18.91,19.38,19.35,19.34,19.5,19.29,19.19,18.66,18.26,17.96,17.51,16.88,16.94,16.68,16.45,24190907,402.25,402.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,73764.11,8.47,776.0,10.5,53.99,56.23,58.56,61.85,59.45,57.15,62.34,59.66,61.77,64.22,62.32,59.05,56.92,56.94,58.78,60.18,58.96,59.61,58.19,58.21,62.92,66.64,61.49,61.59,62.17,65.27,69.13,68.81,69.37,67.44,68.09,72.82,74.22,79.29,80.39,80.99,78.83,76.55,76.61,69.99,75.31,73.46,70.74,71.48,68.01,69.56,69.8,72.25,8.15,8.57,7.85,7.8,7.82,8.17,8.62,8.57,8.63,8.38,8.44,8.99,9.12,9.7,9.78,9.81,9.51,9.21,9.19,8.36,8.95,8.68,8.31,8.33,7.88,8.01,8.01,8.27,8736668,72.25,72.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,33614.24,3.45,868.1,25.8,35.3,35.33,37.66,41.16,44.42,49.31,51.83,54.48,57.26,57.23,60.44,62.32,63.71,65.59,67.23,68.58,70.95,73.19,77.12,77.32,58.08,56.39,45.47,39.18,33.86,32.84,27.53,26.8,26.8,26.49,28.07,26.71,26.48,28.96,28.68,30.48,30.91,28.09,31.03,25.94,24.75,28,30.81,31.78,33.16,32.89,34.1,32.54,8.02,7.66,6.09,5.17,4.41,4.22,3.51,3.38,3.35,3.29,3.46,3.26,3.2,3.46,3.4,3.57,3.58,3.22,3.52,2.91,2.74,3.06,3.33,3.39,3.49,3.42,3.51,3.31,9757812,32.54,32.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,4404.25,11.26,34.9,7.9,1.62,1.64,1.87,1.99,1.64,1.77,1.53,1.71,1.78,1.75,1.72,1.69,1.38,1.05,1.06,1.03,1.11,1.33,1.3,1.4,1.52,1.47,1.24,1.25,1.35,1.6,1.8,1.71,1.89,1.76,1.63,1.63,1.62,1.95,2.02,2.07,2,1.98,1.38,1.64,1.75,1.73,3.01,3.37,3.14,3,3,3,5.94,5.62,4.65,4.62,4.9,5.69,6.33,5.95,6.51,5.98,5.48,5.36,5.22,6.19,6.25,6.28,5.96,5.77,3.95,4.63,4.84,4.71,8.1,8.92,8.2,7.75,7.66,7.58,377931,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,24458.38,17.1,127.4,5.2,2.96,2.98,3.57,4.51,5.32,5.49,5.96,6.57,6.96,7.43,7.53,8.06,8.5,9.76,9.03,9.64,10.96,10.71,11.32,11.4,11.99,11.56,13.6,14.72,14.99,15.22,15.8,16.25,17.24,17.32,17.76,18.39,19.22,19.9,19.92,23.39,25.41,25.84,27.65,27.63,28.8,28.98,29.58,31.66,33.17,33.55,35.38,35.77,24.17,22.68,26,27.44,27.27,27.01,27.3,27.31,28.1,27.21,26.72,26.37,26.14,25.56,24,26.3,26.51,24.95,24.81,23.32,23.21,22.67,22.75,24.07,24.82,24.46,24.83,23.97,1425791,35.77,35.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,74476.23,0.46,14425.7,193.7,3.27,3.26,3.43,4.06,4.31,5.12,5.48,5.61,6.02,6.7,7.53,7.35,7.97,7.52,7.87,9.15,10.13,11.07,12.04,13.12,13.87,13.07,14.69,15.54,16.77,20.48,20.8,22.57,23.07,24.62,26.71,31.41,33.1,34.52,36.45,38.83,41.87,44.22,49.86,53.02,58.54,62.13,66.09,68.59,72.08,80.01,81.6,84.55,0.13,0.12,0.13,0.14,0.14,0.17,0.17,0.18,0.18,0.19,0.2,0.23,0.24,0.25,0.26,0.27,0.29,0.3,0.34,0.35,0.38,0.4,0.42,0.44,0.45,0.5,0.5,0.51,158000000,84.55,84.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,1541.45,5.41,25.4,16.5,0.29,0.29,0.34,0.36,0.3,0.38,0.34,0.38,0.4,0.38,0.38,0.42,0.4,0.43,0.5,0.65,0.74,0.72,0.71,0.78,0.78,0.82,0.78,0.76,0.71,0.71,0.67,0.79,0.88,0.93,1.65,2.15,2.15,2.35,2.03,2.16,2.17,2.16,2.26,2.31,2.34,2.32,2.83,3.11,3.05,3.17,3.17,3.17,2.98,3.13,2.99,2.87,2.69,2.69,2.5,2.98,3.29,3.45,6.11,7.94,7.93,8.65,7.43,7.89,7.89,7.84,8.15,8.28,8.36,8.27,10.05,11.02,10.76,11.15,11.12,11.1,285796,3.17,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,62655.67,6.61,844.6,13.5,64.18,64.35,69.08,74.84,78.6,87.26,88.48,92.2,95.47,99.98,101.36,105.34,104.91,105.31,104.02,103.84,104.52,104.21,103,99.29,109.07,105.02,95,82.1,70.15,62.64,63.52,63.81,62.13,59.96,57.78,56.52,56.67,57.22,60.55,61.4,63.88,62.54,65.22,62.58,66.81,63.99,65,65.87,65.17,60.55,61.03,62.34,10.68,10.27,9.3,8.05,6.9,6.18,6.28,6.34,6.19,6,5.82,5.73,5.78,5.87,6.26,6.38,6.67,6.56,6.86,6.6,7.05,6.76,6.86,6.95,6.87,6.38,6.44,6.58,9501534,62.34,62.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,94722.81,8.31,1015.6,10.7,140.36,130.14,141.68,146.55,145.03,127.85,137.63,135.09,139.64,148.89,137.99,126.07,118.33,108.65,111.45,109.02,109.59,109.7,112.03,113.11,115.9,119.91,117.87,115.94,121.27,122.41,127.36,124.13,127.36,123.11,124.87,125.03,118.48,123.48,122.32,118.71,117.49,113.88,115.5,107.86,115.75,105.19,103.79,105.31,99.22,104.1,104.32,104.22,11.58,11.94,11.7,11.46,11.94,12.02,12.48,12.14,12.44,12.01,12.14,12.12,11.43,11.85,11.67,11.26,11.06,10.64,10.72,9.93,10.58,9.55,9.36,9.44,8.84,9.22,9.18,9.12,11331422,104.22,104.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,1114.1,3.04,32.7,29.3,0.06,0.06,0.07,0.08,0.06,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.1,0.14,0.11,0.08,0.11,0.19,0.2,0.16,0.15,0.15,0.19,0.15,0.22,0.21,0.22,0.31,0.42,0.41,0.41,0.46,0.44,0.43,0.47,0.26,0.24,0.25,0.25,0.43,0.45,0.42,0.44,0.44,0.44,1,1.05,0.83,0.78,0.75,0.9,0.71,0.97,0.92,0.93,1.27,1.63,1.58,1.53,1.67,1.55,1.47,1.58,0.84,0.76,0.78,0.76,1.29,1.3,1.19,1.22,1.2,1.17,368400,0.44,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,6563.71,0.6,974.7,148.5,0.32,0.37,0.47,0.49,0.5,0.56,0.38,0.44,0.47,0.52,0.55,0.46,0.53,0.52,0.54,0.63,0.57,0.52,0.47,0.42,0.41,0.37,0.4,0.4,0.41,0.42,1.1,1.39,1.34,1.47,1.57,1.88,2.17,2.43,2.59,2.84,3.9,4.43,4.4,4.71,5.11,5.01,4.76,4.98,5.3,5.98,6.36,7.1,0.08,0.07,0.07,0.07,0.07,0.07,0.18,0.22,0.21,0.22,0.23,0.27,0.3,0.32,0.33,0.36,0.47,0.52,0.51,0.53,0.56,0.53,0.49,0.5,0.51,0.57,0.59,0.64,10872067,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
